id,rle_mask
711d860055,
df4991a4c3,
df8800857f,3534 2 3625 12 3706 32 3795 73 3883 4630 8536 74 8642 63 8747 48 8853 38 8965 25 9070 21 9176 16 9280 13 9384 10 9488 7 9591 5 9693 4 9796 2
7177b9576f,
3821e89b66,56 46 158 45 259 45 361 44 463 43 566 14 585 22 675 3 687 21 789 20 891 19 994 17 1096 16 1198 15 1299 15 1401 14 1502 14 1603 14 1705 13 1806 13 1907 13 2008 13 2109 13 2210 13 2311 13 2412 13 2514 12 2615 12 2716 12 2817 12 2919 11 3020 11 3121 11 3222 11 3323 11 3424 11 3525 11 3627 10 3728 10 3829 10 3929 11 4030 11 4131 11 4232 11 4333 11 4435 10 4537 9 4638 9 4740 8 4841 8 4943 7 5045 6 5146 6 5248 5 5349 5 5450 5 5551 5 5653 4 5754 4 5855 4 5956 4 6057 4 6158 4 6259 4 6361 3 6462 3 6563 3 6665 2 6767 1
de6e6ed26a,
de5361fe2c,95 7 196 7 297 7 398 7 499 7 600 7 700 8 801 8 902 8 1003 8 1104 8 1204 9 1305 9 1405 10 1505 11 1605 12 1705 13 1805 14 1905 15 2006 15 2107 15 2208 15 2309 15 2409 16 2510 16 2611 16 2712 16 2813 16 2914 16 3015 16 3116 16 3217 16 3318 16 3420 15 3521 15 3622 15 3724 14 3825 14 3926 14 4027 14 4128 14 4228 15 4329 15 4430 15 4530 16 4631 16 4732 16 4833 16 4934 16 5035 16 5137 15 5238 15 5339 15 5441 14 5542 14 5644 13 5745 13 5847 12 5948 12 6049 12 6150 12 6251 12 6352 12 6453 12 6554 12 6655 12 6755 13 6856 13 6957 13 7058 13 7159 13 7260 13 7361 13 7462 13 7563 13 7664 13 7766 12 7867 12 7968 12 8069 12 8170 12 8271 12 8371 13 8472 13 8573 13 8674 13 8775 13 8876 13 8977 13 9078 13 9179 13 9280 13 9381 13 9482 13 9584 12 9685 12 9787 11 9888 11 9990 10 10091 10 10192 10
701c8ddc8a,
dc0047f648,96 6 197 6 298 6 399 6 501 5 602 5 704 4 806 3 909 1
dcf6316d5a,
707da802b9,
377b6c18d5,6970 3 7071 8 7172 11 7273 14 7374 17 7475 23 7502 9 7576 40 7627 2 7677 60 7778 64 7879 70 7978 83 8076 2126
